,pos,depth,hit
0,241,6496,True
1,1059,7246,True
2,3037,3411,True
3,3700,282,True
4,6696,684,True
5,12400,7625,True
6,14408,6547,True
7,15965,514,True
8,19944,36,False
9,19949,37,False
10,21163,8,False
11,21166,9,False
12,21168,14,False
13,21170,10,False
14,21171,10,False
15,21174,10,False
16,21179,12,False
17,21663,51,False
18,21664,53,False
19,21665,51,False
20,22801,6427,True
21,23403,9325,True
22,23755,1298,True
23,24622,2448,True
24,25563,7912,True
25,26464,166,False
26,27865,2873,True
27,27866,2990,True
28,28242,421,False
29,28245,443,False
30,28250,727,False
31,28253,728,False
